calendar_yearmonth,Year_Name,Month_Name,SAID,number_of_Cases,number_of_escalation,number_of_parts_used,number_of_single_visit_missed,number_of_response_missed
201203,2012,3,102373838484,1,0,0,0,0
201201,2012,1,102384391439,3,0,1,0,0
201204,2012,4,102373838484,1,0,0,0,0
201204,2012,4,102830749407,4,1,0,0,0
201111,2011,11,102430132659,1,0,0,0,0
201209,2012,9,107577709911,4,0,1,1,1
201208,2012,8,102392112870,1,0,0,0,0
201208,2012,8,102336332486,1,0,1,0,0
201206,2012,6,102421325368,1,0,1,0,0
201201,2012,1,102404584755,1,0,1,0,0
201209,2012,9,102380362091,15,0,27,0,0
201208,2012,8,102439484874,2,0,1,0,0
201207,2012,7,107611649749,4,0,0,0,0
201208,2012,8,107629913959,1,0,0,0,0
201209,2012,9,107628330871,5,0,4,0,0
201207,2012,7,107631112784,3,0,2,0,0
201203,2012,3,102318931309,4,0,1,0,0
201207,2012,7,102409689341,2,0,1,1,1
201202,2012,2,102406521546,1,0,0,0,0
201204,2012,4,102406521546,2,0,0,0,0
201205,2012,5,102410609350,10,0,0,0,0
201202,2012,2,102409689341,1,0,1,0,0
201205,2012,5,102395623252,3,0,1,0,0
201205,2012,5,107577709911,4,0,2,0,0
201209,2012,9,102393824160,1,0,0,0,0
201207,2012,7,107577959625,1,0,1,0,0
201210,2012,10,107579551609,1,0,0,0,0
201112,2011,12,102375416907,1,0,0,0,0
201210,2012,10,102375416907,2,0,1,0,0
201206,2012,6,102375622498,1,0,1,0,0
201209,2012,9,107578860389,1,0,0,0,0
201208,2012,8,107579551609,7,0,5,0,0
201112,2011,12,102348749136,2,0,0,0,0
201206,2012,6,102383535072,1,0,1,0,0
201204,2012,4,102395623252,4,0,0,0,0
201205,2012,5,102830332423,33,0,0,0,0
201202,2012,2,102852050328,1,0,0,0,0
201204,2012,4,102852050328,1,0,1,0,0
201208,2012,8,107613318927,6,0,0,0,0
201203,2012,3,102361671438,1,0,0,0,0
201210,2012,10,102382202322,1,1,0,0,0
201111,2011,11,102361671438,1,0,0,0,0
201209,2012,9,107640448391,1,0,3,1,0
201202,2012,2,102389914847,8,0,3,0,0
201112,2011,12,102382485550,1,0,0,0,0
201209,2012,9,107616067450,1,0,1,0,0
201209,2012,9,102392054180,1,0,0,0,0
201201,2012,1,102392672764,1,0,2,0,0
201209,2012,9,102395367760,1,0,0,0,0
201112,2011,12,102392672764,1,0,0,0,0
201202,2012,2,102395247441,1,0,1,0,0
201204,2012,4,102395247441,9,0,0,0,0
201210,2012,10,102395247441,2,0,5,0,0
201204,2012,4,102395367760,1,0,0,0,0
201210,2012,10,102395367760,1,0,0,0,0
201203,2012,3,102392528205,6,0,0,0,0
201201,2012,1,102395247441,2,0,0,0,0
201112,2011,12,102395367760,2,0,1,0,0
201201,2012,1,102395367760,1,0,1,0,0
201111,2011,11,102395247441,2,0,0,0,0
201112,2011,12,102395247441,5,0,1,0,0
201206,2012,6,102395247441,1,0,2,0,0
201206,2012,6,102412927002,1,0,1,0,0
201201,2012,1,102852050328,1,0,0,0,0
201209,2012,9,102852050328,1,0,1,0,0
201206,2012,6,107579998026,14,0,3,0,0
201206,2012,6,107587395528,1,0,1,0,0
201112,2011,12,102340198754,1,0,1,0,0
201206,2012,6,107577709911,1,0,1,0,0
