renewal_date,status,SAID,Chan.Prof
20130601,Loss,101757490045,Indirect
20130601,Loss,101757481922,Direct
20130601,Loss,101757525559,Direct
20130601,Converted,101757525789,Direct
20130601,Loss,101757528807,Direct
20130501,Loss,101759014001,Indirect
20130501,Loss,101683239701,Indirect
20130601,Loss,101758954156,Direct
20130515,Loss,101759798913,Direct
20130601,Loss,101760179709,Indirect
20130601,Loss,101760595891,Direct
20130601,Loss,101760377310,Direct
20130601,Converted,101760375764,Direct
20130501,Loss,101760640189,Indirect
20130501,Loss,101760509383,Indirect
20130501,Loss,101797551838,Indirect
20130501,Loss,101752338781,Indirect
20130601,Loss,101761046117,Direct
20130521,Loss,101761690367,Direct
20130423,Loss,101762402488,Indirect
20130601,Loss,101762443932,Indirect
20130501,Loss,101762444185,Indirect
20130601,Loss,101763425304,Indirect
20130425,Loss,101763259739,Direct
20130601,Loss,101763778008,Indirect
20130601,Converted,101763393509,Direct
20130601,Loss,101763882125,Direct
20130601,Converted,101764186110,Direct
20130601,Loss,101764354204,Direct
20130501,Loss,101764395605,Direct
20130501,Loss,101764429570,Direct
20130601,Loss,101764286968,Indirect
20130501,Loss,101764356670,Indirect
20130601,Loss,101764358745,Indirect
20130601,Loss,101764364190,Indirect
20130501,Loss,101764433889,Indirect
20130601,Converted,101764790098,Direct
20130510,Loss,101764599006,Indirect
20130515,Loss,101766207789,Direct
20130601,Loss,101764795641,Direct
20130601,Loss,101764919215,Indirect
20130501,Converted,101764886467,Direct
20130601,Loss,101764885114,Direct
20130601,Converted,101764923694,Indirect
20130601,Loss,101765012753,Indirect
20130601,Loss,101766143411,Direct
20130601,Loss,101766154350,Indirect
20130601,Loss,101766151391,Direct
20130601,Loss,101766173458,Indirect
20130601,Loss,101767055465,Indirect
20130601,Loss,101766327068,Direct
20130501,Loss,101766284264,Direct
20130601,Loss,101766335748,Indirect
20130601,Loss,101766897067,Direct
20130601,Loss,101767112163,Indirect
20130601,Loss,101767589333,Indirect
20130510,Converted,101768412499,Indirect
20130515,Loss,101767975190,Indirect
20130601,Loss,101768055846,Indirect
20130601,Loss,101768056449,Indirect
20130601,Loss,101767811748,Direct
20130601,Loss,101768020776,Indirect
20130701,Loss,101768032667,Direct
20130601,Converted,101768054723,Indirect
20130601,Loss,101737658490,Direct
20130601,Loss,101768081401,Indirect
20130501,Loss,101768127333,Direct
20130601,Loss,101769628818,Indirect
20130601,Converted,101769634902,Direct
20130601,Loss,101769635215,Indirect
20130601,Loss,101769642712,Direct
20130601,Loss,101769661520,Direct
20130601,Loss,101769691917,Direct
20130601,Loss,101769730706,Indirect
20130715,Loss,101770149043,Direct
20130701,Loss,101770752549,Direct
20130701,Converted,101771138136,Direct
